class,count
"bg-blue-50",137
"text-blue-700",118
"border-blue-200",115
"bg-blue-100",108
"text-red-600",106
"text-blue-600",100
"text-red-700",86
"bg-amber-50",85
"text-amber-700",81
"bg-red-50",81
"text-green-700",74
"border-amber-200",72
"text-amber-600",65
"bg-blue-600",59
"text-green-600",58
"text-amber-900",58
"border-red-200",56
"text-blue-900",54
"text-amber-800",53
"bg-blue-700",51
"bg-red-100",49
"bg-green-50",49
"ring-blue-500",49
"bg-opacity-50",48
"text-red-800",47
"text-blue-800",46
"bg-amber-100",45
"border-green-200",45
"bg-green-100",42
"text-green-800",35
"text-red-900",28
"border-blue-300",21
"text-orange-700",21
"bg-primary-600",20
"border-amber-300",20
"bg-red-600",20
"bg-red-700",19
"bg-green-600",19
"bg-orange-100",19
"border-red-300",18
"text-green-900",18
"bg-primary-700",15
"bg-green-700",15
"ring-primary-500",14
"text-primary-600",13
"border-blue-500",12
"border-blue-600",11
"border-orange-300",11
"bg-orange-50",11
"text-yellow-800",10
"border-orange-200",10
"text-success-600",9
"text-orange-800",9
"text-orange-600",9
"border-green-300",8
"bg-yellow-100",8
"bg-amber-600",8
"text-red-500",7
"border-red-500",7
"bg-yellow-50",7
"to-blue-50",6
"bg-amber-700",6
"text-yellow-700",6
"border-yellow-200",6
"text-primary-700",5
"bg-violet-600",5
"bg-violet-700",5
"text-violet-600",5
"border-violet-200",5
"bg-purple-100",5
"text-purple-700",5
"border-blue-400",5
"bg-primary-100",4
"border-amber-500",4
"bg-amber-500",4
"from-violet-50",4
"border-violet-300",4
"text-yellow-600",4
"text-orange-900",4
"ring-green-500",3
"border-red-600",3
"ring-amber-500",3
"border-green-500",3
"bg-red-500",3
"text-violet-400",3
"border-yellow-300",3
"bg-emerald-100",3
"text-emerald-700",3
"border-amber-400",3
"from-blue-700",3
"text-yellow-900",3
"bg-success-400",3
"border-primary-300",3
"border-amber-600",3
"border-green-600",3
"bg-opacity-90",3
"text-purple-600",3
"border-primary-500",2
"bg-primary-50",2
"bg-amber-200",2
"text-warning-700",2
"text-amber-500",2
"bg-green-500",2
"bg-opacity-30",2
"border-purple-300",2
"bg-blue-500",2
"text-purple-800",2
"text-emerald-600",2
"border-purple-200",2
"text-purple-900",2
"from-blue-600",2
"to-purple-600",2
"to-purple-700",2
"bg-error-600",1
"bg-error-700",1
"ring-error-500",1
"bg-success-600",1
"bg-success-700",1
"ring-success-500",1
"text-primary-900",1
"bg-warning-50",1
"border-warning-200",1
"text-warning-800",1
"bg-warning-100",1
"border-primary-600",1
"text-amber-400",1
"accent-red-600",1
"accent-orange-600",1
"accent-amber-600",1
"accent-blue-600",1
"accent-green-600",1
"border-emerald-300",1
"bg-cyan-100",1
"text-cyan-700",1
"border-cyan-300",1
"to-blue-500",1
"ring-red-500",1
"bg-green-200",1
"bg-indigo-100",1
"text-indigo-800",1
"from-primary-900",1
"via-primary-800",1
"text-primary-300",1
"text-primary-200",1
"text-primary-400",1
"bg-success-500",1
"text-primary-100",1
"bg-primary-200",1
"text-success-400",1
"text-blue-500",1
"bg-purple-50",1
"text-orange-500",1
"text-yellow-500",1
"text-cyan-600",1
"from-purple-50",1
"text-teal-700",1
"bg-rose-50",1
"border-rose-600",1
"text-rose-900",1
"from-blue-50",1
"text-amber-200",1
"text-green-200",1
"text-blue-200",1
