file,class,utility,family,shade
"src/components/AddFromLibraryModal.tsx","bg-amber-100","bg","amber","100"
"src/components/AddFromLibraryModal.tsx","bg-blue-100","bg","blue","100"
"src/components/AddFromLibraryModal.tsx","bg-blue-600","bg","blue","600"
"src/components/AddFromLibraryModal.tsx","bg-blue-700","bg","blue","700"
"src/components/AddFromLibraryModal.tsx","bg-green-100","bg","green","100"
"src/components/AddFromLibraryModal.tsx","bg-red-100","bg","red","100"
"src/components/AddFromLibraryModal.tsx","border-blue-300","border","blue","300"
"src/components/AddFromLibraryModal.tsx","border-blue-600","border","blue","600"
"src/components/AddFromLibraryModal.tsx","text-amber-800","text","amber","800"
"src/components/AddFromLibraryModal.tsx","text-blue-600","text","blue","600"
"src/components/AddFromLibraryModal.tsx","text-blue-600","text","blue","600"
"src/components/AddFromLibraryModal.tsx","text-blue-700","text","blue","700"
"src/components/AddFromLibraryModal.tsx","text-blue-800","text","blue","800"
"src/components/AddFromLibraryModal.tsx","text-green-800","text","green","800"
"src/components/AddFromLibraryModal.tsx","text-red-800","text","red","800"
"src/components/ApprovalWorkflowBanner.tsx","bg-amber-100","bg","amber","100"
"src/components/ApprovalWorkflowBanner.tsx","bg-amber-50","bg","amber","50"
"src/components/ApprovalWorkflowBanner.tsx","bg-blue-100","bg","blue","100"
"src/components/ApprovalWorkflowBanner.tsx","bg-blue-50","bg","blue","50"
"src/components/ApprovalWorkflowBanner.tsx","bg-blue-600","bg","blue","600"
"src/components/ApprovalWorkflowBanner.tsx","bg-blue-700","bg","blue","700"
"src/components/ApprovalWorkflowBanner.tsx","bg-green-100","bg","green","100"
"src/components/ApprovalWorkflowBanner.tsx","bg-green-50","bg","green","50"
"src/components/ApprovalWorkflowBanner.tsx","bg-green-600","bg","green","600"
"src/components/ApprovalWorkflowBanner.tsx","bg-green-600","bg","green","600"
"src/components/ApprovalWorkflowBanner.tsx","bg-green-700","bg","green","700"
"src/components/ApprovalWorkflowBanner.tsx","bg-green-700","bg","green","700"
"src/components/ApprovalWorkflowBanner.tsx","border-amber-200","border","amber","200"
"src/components/ApprovalWorkflowBanner.tsx","border-blue-200","border","blue","200"
"src/components/ApprovalWorkflowBanner.tsx","border-green-200","border","green","200"
"src/components/ApprovalWorkflowBanner.tsx","border-green-200","border","green","200"
"src/components/ApprovalWorkflowBanner.tsx","border-green-500","border","green","500"
"src/components/ApprovalWorkflowBanner.tsx","ring-green-500","ring","green","500"
"src/components/ApprovalWorkflowBanner.tsx","text-amber-700","text","amber","700"
"src/components/ApprovalWorkflowBanner.tsx","text-blue-700","text","blue","700"
"src/components/ApprovalWorkflowBanner.tsx","text-green-700","text","green","700"
"src/components/AssessmentRecommendationReport.tsx","bg-amber-100","bg","amber","100"
"src/components/AssessmentRecommendationReport.tsx","bg-blue-100","bg","blue","100"
"src/components/AssessmentRecommendationReport.tsx","bg-red-100","bg","red","100"
"src/components/AssessmentRecommendationReport.tsx","bg-red-50","bg","red","50"
"src/components/AssessmentRecommendationReport.tsx","border-amber-300","border","amber","300"
"src/components/AssessmentRecommendationReport.tsx","border-blue-300","border","blue","300"
"src/components/AssessmentRecommendationReport.tsx","border-red-300","border","red","300"
"src/components/AssessmentRecommendationReport.tsx","border-red-500","border","red","500"
"src/components/AssessmentRecommendationReport.tsx","text-amber-700","text","amber","700"
"src/components/AssessmentRecommendationReport.tsx","text-blue-700","text","blue","700"
"src/components/AssessmentRecommendationReport.tsx","text-red-600","text","red","600"
"src/components/AssessmentRecommendationReport.tsx","text-red-700","text","red","700"
"src/components/AssessmentRecommendationReport.tsx","text-red-800","text","red","800"
"src/components/AssessmentRecommendationReport.tsx","text-red-900","text","red","900"
"src/components/BillingStatusBanner.tsx","bg-amber-50","bg","amber","50"
"src/components/BillingStatusBanner.tsx","bg-amber-600","bg","amber","600"
"src/components/BillingStatusBanner.tsx","bg-amber-700","bg","amber","700"
"src/components/BillingStatusBanner.tsx","bg-red-50","bg","red","50"
"src/components/BillingStatusBanner.tsx","bg-red-600","bg","red","600"
"src/components/BillingStatusBanner.tsx","bg-red-700","bg","red","700"
"src/components/BillingStatusBanner.tsx","border-amber-200","border","amber","200"
"src/components/BillingStatusBanner.tsx","border-red-200","border","red","200"
"src/components/BillingStatusBanner.tsx","text-amber-600","text","amber","600"
"src/components/BillingStatusBanner.tsx","text-amber-700","text","amber","700"
"src/components/BillingStatusBanner.tsx","text-amber-900","text","amber","900"
"src/components/BillingStatusBanner.tsx","text-red-600","text","red","600"
"src/components/BillingStatusBanner.tsx","text-red-700","text","red","700"
"src/components/BillingStatusBanner.tsx","text-red-900","text","red","900"
"src/components/BuildingForm.tsx","bg-amber-50","bg","amber","50"
"src/components/BuildingForm.tsx","bg-amber-50","bg","amber","50"
"src/components/BuildingForm.tsx","bg-blue-50","bg","blue","50"
"src/components/BuildingForm.tsx","bg-red-50","bg","red","50"
"src/components/BuildingForm.tsx","border-amber-300","border","amber","300"
"src/components/BuildingForm.tsx","border-amber-300","border","amber","300"
"src/components/BuildingForm.tsx","border-blue-200","border","blue","200"
"src/components/BuildingForm.tsx","text-amber-800","text","amber","800"
"src/components/BuildingForm.tsx","text-amber-800","text","amber","800"
"src/components/BuildingForm.tsx","text-blue-900","text","blue","900"
"src/components/BuildingForm.tsx","text-green-700","text","green","700"
"src/components/BuildingForm.tsx","text-red-600","text","red","600"
"src/components/BuildingForm.tsx","text-red-700","text","red","700"
"src/components/ClientBrandingModal.tsx","bg-blue-600","bg","blue","600"
"src/components/ClientBrandingModal.tsx","bg-blue-600","bg","blue","600"
"src/components/ClientBrandingModal.tsx","bg-blue-600","bg","blue","600"
"src/components/ClientBrandingModal.tsx","bg-blue-700","bg","blue","700"
"src/components/ClientBrandingModal.tsx","bg-blue-700","bg","blue","700"
"src/components/ClientBrandingModal.tsx","bg-blue-700","bg","blue","700"
"src/components/ClientBrandingModal.tsx","bg-opacity-50","bg","opacity","50"
"src/components/ClientBrandingModal.tsx","bg-red-600","bg","red","600"
"src/components/ClientBrandingModal.tsx","bg-red-700","bg","red","700"
"src/components/ClientBrandingModal.tsx","border-blue-600","border","blue","600"
"src/components/ClientBrandingModal.tsx","ring-blue-500","ring","blue","500"
"src/components/CloneSurveyModal.tsx","bg-blue-100","bg","blue","100"
"src/components/CloneSurveyModal.tsx","bg-blue-50","bg","blue","50"
"src/components/CloneSurveyModal.tsx","bg-blue-600","bg","blue","600"
"src/components/CloneSurveyModal.tsx","bg-blue-700","bg","blue","700"
"src/components/CloneSurveyModal.tsx","bg-opacity-50","bg","opacity","50"
"src/components/CloneSurveyModal.tsx","border-blue-200","border","blue","200"
"src/components/CloneSurveyModal.tsx","ring-blue-500","ring","blue","500"
"src/components/CloneSurveyModal.tsx","ring-blue-500","ring","blue","500"
"src/components/CloneSurveyModal.tsx","text-blue-600","text","blue","600"
"src/components/CloneSurveyModal.tsx","text-blue-600","text","blue","600"
"src/components/CloneSurveyModal.tsx","text-blue-600","text","blue","600"
"src/components/CloneSurveyModal.tsx","text-blue-700","text","blue","700"
"src/components/CloneSurveyModal.tsx","text-blue-900","text","blue","900"
"src/components/ConfirmDialog.tsx","bg-amber-100","bg","amber","100"
"src/components/ConfirmDialog.tsx","bg-amber-50","bg","amber","50"
"src/components/ConfirmDialog.tsx","bg-amber-600","bg","amber","600"
"src/components/ConfirmDialog.tsx","bg-amber-700","bg","amber","700"
"src/components/ConfirmDialog.tsx","bg-blue-100","bg","blue","100"
"src/components/ConfirmDialog.tsx","bg-blue-50","bg","blue","50"
"src/components/ConfirmDialog.tsx","bg-blue-600","bg","blue","600"
"src/components/ConfirmDialog.tsx","bg-blue-700","bg","blue","700"
"src/components/ConfirmDialog.tsx","bg-opacity-30","bg","opacity","30"
"src/components/ConfirmDialog.tsx","bg-red-100","bg","red","100"
"src/components/ConfirmDialog.tsx","bg-red-50","bg","red","50"
"src/components/ConfirmDialog.tsx","bg-red-600","bg","red","600"
"src/components/ConfirmDialog.tsx","bg-red-700","bg","red","700"
"src/components/ConfirmDialog.tsx","border-amber-200","border","amber","200"
"src/components/ConfirmDialog.tsx","border-blue-200","border","blue","200"
"src/components/ConfirmDialog.tsx","border-red-200","border","red","200"
"src/components/ConfirmDialog.tsx","text-amber-600","text","amber","600"
"src/components/ConfirmDialog.tsx","text-amber-800","text","amber","800"
"src/components/ConfirmDialog.tsx","text-amber-900","text","amber","900"
"src/components/ConfirmDialog.tsx","text-blue-600","text","blue","600"
"src/components/ConfirmDialog.tsx","text-blue-800","text","blue","800"
"src/components/ConfirmDialog.tsx","text-blue-900","text","blue","900"
"src/components/ConfirmDialog.tsx","text-red-600","text","red","600"
"src/components/ConfirmDialog.tsx","text-red-800","text","red","800"
"src/components/ConfirmDialog.tsx","text-red-900","text","red","900"
"src/components/ConfirmModal.tsx","bg-blue-600","bg","blue","600"
"src/components/ConfirmModal.tsx","bg-blue-700","bg","blue","700"
"src/components/ConfirmModal.tsx","bg-opacity-50","bg","opacity","50"
"src/components/ConfirmModal.tsx","bg-red-100","bg","red","100"
"src/components/ConfirmModal.tsx","bg-red-600","bg","red","600"
"src/components/ConfirmModal.tsx","bg-red-700","bg","red","700"
"src/components/ConfirmModal.tsx","text-red-600","text","red","600"
"src/components/CreateRevisionModal.tsx","bg-blue-50","bg","blue","50"
"src/components/CreateRevisionModal.tsx","bg-opacity-50","bg","opacity","50"
"src/components/CreateRevisionModal.tsx","bg-primary-600","bg","primary","600"
"src/components/CreateRevisionModal.tsx","bg-primary-700","bg","primary","700"
"src/components/CreateRevisionModal.tsx","bg-red-50","bg","red","50"
"src/components/CreateRevisionModal.tsx","border-blue-200","border","blue","200"
"src/components/CreateRevisionModal.tsx","border-red-200","border","red","200"
"src/components/CreateRevisionModal.tsx","text-blue-600","text","blue","600"
"src/components/CreateRevisionModal.tsx","text-blue-800","text","blue","800"
"src/components/CreateRevisionModal.tsx","text-blue-900","text","blue","900"
"src/components/CreateRevisionModal.tsx","text-primary-600","text","primary","600"
"src/components/CreateRevisionModal.tsx","text-primary-600","text","primary","600"
"src/components/CreateRevisionModal.tsx","text-primary-600","text","primary","600"
"src/components/CreateRevisionModal.tsx","text-primary-600","text","primary","600"
"src/components/CreateRevisionModal.tsx","text-primary-600","text","primary","600"
"src/components/CreateRevisionModal.tsx","text-primary-600","text","primary","600"
"src/components/CreateRevisionModal.tsx","text-red-600","text","red","600"
"src/components/CreateRevisionModal.tsx","text-red-800","text","red","800"
"src/components/CreateRevisionModal.tsx","text-red-900","text","red","900"
"src/components/DeleteDocumentModal.tsx","bg-opacity-50","bg","opacity","50"
"src/components/DeleteDocumentModal.tsx","bg-red-100","bg","red","100"
"src/components/DeleteDocumentModal.tsx","bg-red-50","bg","red","50"
"src/components/DeleteDocumentModal.tsx","bg-red-600","bg","red","600"
"src/components/DeleteDocumentModal.tsx","bg-red-700","bg","red","700"
"src/components/DeleteDocumentModal.tsx","border-red-200","border","red","200"
"src/components/DeleteDocumentModal.tsx","ring-red-500","ring","red","500"
"src/components/DeleteDocumentModal.tsx","text-red-600","text","red","600"
"src/components/DeleteDocumentModal.tsx","text-red-600","text","red","600"
"src/components/DeleteDocumentModal.tsx","text-red-700","text","red","700"
"src/components/DraftReportModal.tsx","bg-amber-100","bg","amber","100"
"src/components/DraftReportModal.tsx","bg-amber-50","bg","amber","50"
"src/components/DraftReportModal.tsx","bg-blue-600","bg","blue","600"
"src/components/DraftReportModal.tsx","bg-blue-700","bg","blue","700"
"src/components/DraftReportModal.tsx","bg-green-100","bg","green","100"
"src/components/DraftReportModal.tsx","bg-green-600","bg","green","600"
"src/components/DraftReportModal.tsx","bg-green-700","bg","green","700"
"src/components/DraftReportModal.tsx","bg-opacity-50","bg","opacity","50"
"src/components/DraftReportModal.tsx","bg-violet-600","bg","violet","600"
"src/components/DraftReportModal.tsx","bg-violet-700","bg","violet","700"
"src/components/DraftReportModal.tsx","border-amber-400","border","amber","400"
"src/components/DraftReportModal.tsx","text-amber-600","text","amber","600"
"src/components/DraftReportModal.tsx","text-amber-700","text","amber","700"
"src/components/DraftReportModal.tsx","text-amber-800","text","amber","800"
"src/components/DraftReportModal.tsx","text-amber-900","text","amber","900"
"src/components/DraftReportModal.tsx","text-green-700","text","green","700"
"src/components/DraftReportModal.tsx","text-violet-600","text","violet","600"
"src/components/EditLockBanner.tsx","bg-amber-50","bg","amber","50"
"src/components/EditLockBanner.tsx","bg-blue-50","bg","blue","50"
"src/components/EditLockBanner.tsx","bg-red-50","bg","red","50"
"src/components/EditLockBanner.tsx","border-amber-500","border","amber","500"
"src/components/EditLockBanner.tsx","border-blue-500","border","blue","500"
"src/components/EditLockBanner.tsx","border-red-500","border","red","500"
"src/components/EditLockBanner.tsx","text-amber-600","text","amber","600"
"src/components/EditLockBanner.tsx","text-amber-700","text","amber","700"
"src/components/EditLockBanner.tsx","text-amber-800","text","amber","800"
"src/components/EditLockBanner.tsx","text-amber-900","text","amber","900"
"src/components/EditLockBanner.tsx","text-amber-900","text","amber","900"
"src/components/EditLockBanner.tsx","text-blue-600","text","blue","600"
"src/components/EditLockBanner.tsx","text-blue-800","text","blue","800"
"src/components/EditLockBanner.tsx","text-blue-900","text","blue","900"
"src/components/EditLockBanner.tsx","text-red-600","text","red","600"
"src/components/EditLockBanner.tsx","text-red-700","text","red","700"
"src/components/EditLockBanner.tsx","text-red-800","text","red","800"
"src/components/EditLockBanner.tsx","text-red-900","text","red","900"
"src/components/EmptyState.tsx","bg-blue-600","bg","blue","600"
"src/components/EmptyState.tsx","bg-blue-700","bg","blue","700"
"src/components/ErrorBoundary.tsx","bg-red-50","bg","red","50"
"src/components/ErrorBoundary.tsx","border-red-200","border","red","200"
"src/components/ErrorBoundary.tsx","border-red-200","border","red","200"
"src/components/ErrorBoundary.tsx","text-red-600","text","red","600"
"src/components/ErrorBoundary.tsx","text-red-900","text","red","900"
"src/components/ErrorBoundary.tsx","text-red-900","text","red","900"
"src/components/ExternalLinkModal.tsx","bg-green-50","bg","green","50"
"src/components/ExternalLinkModal.tsx","bg-opacity-50","bg","opacity","50"
"src/components/ExternalLinkModal.tsx","bg-red-50","bg","red","50"
"src/components/ExternalLinkModal.tsx","border-green-300","border","green","300"
"src/components/ExternalLinkModal.tsx","border-red-300","border","red","300"
"src/components/ExternalLinkModal.tsx","text-amber-600","text","amber","600"
"src/components/ExternalLinkModal.tsx","text-green-600","text","green","600"
"src/components/ExternalLinkModal.tsx","text-green-800","text","green","800"
"src/components/ExternalLinkModal.tsx","text-green-900","text","green","900"
"src/components/ExternalLinkModal.tsx","text-red-600","text","red","600"
"src/components/ExternalLinkModal.tsx","text-red-800","text","red","800"
"src/components/FeedbackModal.tsx","bg-amber-100","bg","amber","100"
"src/components/FeedbackModal.tsx","bg-amber-50","bg","amber","50"
"src/components/FeedbackModal.tsx","bg-green-100","bg","green","100"
"src/components/FeedbackModal.tsx","bg-green-50","bg","green","50"
"src/components/FeedbackModal.tsx","bg-opacity-30","bg","opacity","30"
"src/components/FeedbackModal.tsx","bg-red-100","bg","red","100"
"src/components/FeedbackModal.tsx","bg-red-50","bg","red","50"
"src/components/FeedbackModal.tsx","border-amber-200","border","amber","200"
"src/components/FeedbackModal.tsx","border-green-200","border","green","200"
"src/components/FeedbackModal.tsx","border-red-200","border","red","200"
"src/components/FeedbackModal.tsx","text-amber-600","text","amber","600"
"src/components/FeedbackModal.tsx","text-amber-800","text","amber","800"
"src/components/FeedbackModal.tsx","text-amber-900","text","amber","900"
"src/components/FeedbackModal.tsx","text-green-600","text","green","600"
"src/components/FeedbackModal.tsx","text-green-800","text","green","800"
"src/components/FeedbackModal.tsx","text-green-900","text","green","900"
"src/components/FeedbackModal.tsx","text-red-600","text","red","600"
"src/components/FeedbackModal.tsx","text-red-800","text","red","800"
"src/components/FeedbackModal.tsx","text-red-900","text","red","900"
"src/components/IssueDocumentModal.tsx","bg-amber-50","bg","amber","50"
"src/components/IssueDocumentModal.tsx","bg-blue-100","bg","blue","100"
"src/components/IssueDocumentModal.tsx","bg-blue-600","bg","blue","600"
"src/components/IssueDocumentModal.tsx","bg-blue-700","bg","blue","700"
"src/components/IssueDocumentModal.tsx","bg-opacity-50","bg","opacity","50"
"src/components/IssueDocumentModal.tsx","border-amber-200","border","amber","200"
"src/components/IssueDocumentModal.tsx","text-amber-600","text","amber","600"
"src/components/IssueDocumentModal.tsx","text-amber-800","text","amber","800"
"src/components/IssueDocumentModal.tsx","text-blue-600","text","blue","600"
"src/components/IssueReadinessPanel.tsx","bg-amber-50","bg","amber","50"
"src/components/IssueReadinessPanel.tsx","bg-amber-600","bg","amber","600"
"src/components/IssueReadinessPanel.tsx","bg-green-50","bg","green","50"
"src/components/IssueReadinessPanel.tsx","bg-green-600","bg","green","600"
"src/components/IssueReadinessPanel.tsx","text-amber-600","text","amber","600"
"src/components/IssueReadinessPanel.tsx","text-amber-600","text","amber","600"
"src/components/IssueReadinessPanel.tsx","text-amber-600","text","amber","600"
"src/components/IssueReadinessPanel.tsx","text-amber-700","text","amber","700"
"src/components/IssueReadinessPanel.tsx","text-amber-800","text","amber","800"
"src/components/IssueReadinessPanel.tsx","text-green-600","text","green","600"
"src/components/IssueReadinessPanel.tsx","text-green-600","text","green","600"
"src/components/IssueReadinessPanel.tsx","text-green-600","text","green","600"
"src/components/IssueSurveyModal.tsx","bg-amber-50","bg","amber","50"
"src/components/IssueSurveyModal.tsx","bg-green-50","bg","green","50"
"src/components/IssueSurveyModal.tsx","bg-green-600","bg","green","600"
"src/components/IssueSurveyModal.tsx","bg-green-700","bg","green","700"
"src/components/IssueSurveyModal.tsx","bg-opacity-50","bg","opacity","50"
"src/components/IssueSurveyModal.tsx","bg-red-50","bg","red","50"
"src/components/IssueSurveyModal.tsx","border-amber-200","border","amber","200"
"src/components/IssueSurveyModal.tsx","border-green-200","border","green","200"
"src/components/IssueSurveyModal.tsx","border-primary-500","border","primary","500"
"src/components/IssueSurveyModal.tsx","border-red-200","border","red","200"
"src/components/IssueSurveyModal.tsx","ring-primary-500","ring","primary","500"
"src/components/IssueSurveyModal.tsx","ring-primary-500","ring","primary","500"
"src/components/IssueSurveyModal.tsx","text-amber-600","text","amber","600"
"src/components/IssueSurveyModal.tsx","text-amber-600","text","amber","600"
"src/components/IssueSurveyModal.tsx","text-amber-800","text","amber","800"
"src/components/IssueSurveyModal.tsx","text-amber-900","text","amber","900"
"src/components/IssueSurveyModal.tsx","text-green-600","text","green","600"
"src/components/IssueSurveyModal.tsx","text-green-800","text","green","800"
"src/components/IssueSurveyModal.tsx","text-green-900","text","green","900"
"src/components/IssueSurveyModal.tsx","text-primary-600","text","primary","600"
"src/components/IssueSurveyModal.tsx","text-red-600","text","red","600"
"src/components/IssueSurveyModal.tsx","text-red-800","text","red","800"
"src/components/IssueSurveyModal.tsx","text-red-900","text","red","900"
"src/components/IssuedLockBanner.tsx","bg-amber-50","bg","amber","50"
"src/components/IssuedLockBanner.tsx","bg-amber-600","bg","amber","600"
"src/components/IssuedLockBanner.tsx","bg-amber-700","bg","amber","700"
"src/components/IssuedLockBanner.tsx","border-amber-400","border","amber","400"
"src/components/IssuedLockBanner.tsx","text-amber-600","text","amber","600"
"src/components/IssuedLockBanner.tsx","text-amber-700","text","amber","700"
"src/components/IssuedLockBanner.tsx","text-amber-900","text","amber","900"
"src/components/JurisdictionSelector.tsx","ring-blue-500","ring","blue","500"
"src/components/OrganisationBranding.tsx","bg-green-50","bg","green","50"
"src/components/OrganisationBranding.tsx","bg-red-50","bg","red","50"
"src/components/OrganisationBranding.tsx","bg-red-50","bg","red","50"
"src/components/OrganisationBranding.tsx","border-green-200","border","green","200"
"src/components/OrganisationBranding.tsx","border-red-200","border","red","200"
"src/components/OrganisationBranding.tsx","text-amber-600","text","amber","600"
"src/components/OrganisationBranding.tsx","text-green-800","text","green","800"
"src/components/OrganisationBranding.tsx","text-red-600","text","red","600"
"src/components/OrganisationBranding.tsx","text-red-600","text","red","600"
"src/components/OrganisationBranding.tsx","text-red-800","text","red","800"
"src/components/PlanUsageWidget.tsx","bg-amber-500","bg","amber","500"
"src/components/PlanUsageWidget.tsx","bg-amber-500","bg","amber","500"
"src/components/PlanUsageWidget.tsx","bg-blue-50","bg","blue","50"
"src/components/PlanUsageWidget.tsx","bg-blue-500","bg","blue","500"
"src/components/PlanUsageWidget.tsx","bg-blue-500","bg","blue","500"
"src/components/PlanUsageWidget.tsx","bg-red-500","bg","red","500"
"src/components/PlanUsageWidget.tsx","bg-red-500","bg","red","500"
"src/components/PlanUsageWidget.tsx","border-blue-200","border","blue","200"
"src/components/PlanUsageWidget.tsx","text-amber-700","text","amber","700"
"src/components/PlanUsageWidget.tsx","text-amber-700","text","amber","700"
"src/components/PlanUsageWidget.tsx","text-blue-800","text","blue","800"
"src/components/PlanUsageWidget.tsx","text-blue-900","text","blue","900"
"src/components/PlanUsageWidget.tsx","text-green-700","text","green","700"
"src/components/PrimaryNavigation.tsx","from-blue-700","from","blue","700"
"src/components/PrimaryNavigation.tsx","to-blue-500","to","blue","500"
"src/components/ProgressBar.tsx","bg-green-600","bg","green","600"
"src/components/ProgressBar.tsx","text-green-600","text","green","600"
"src/components/ProgressBar.tsx","text-green-700","text","green","700"
"src/components/PromoteRecommendationsToTemplates.tsx","bg-blue-50","bg","blue","50"
